"","X","athlete_display_name","athlete_id","position","season","pie.season","pie.game","games_played","pie.season.f","pie.season.s.p","pie.game.s.p","pct_season_played","pie.season.f.s.p","pie.season.s","pie.game.s","pie.season.f.s","birth_date","season_start","age","availability"
"954",954,"Janel McCarville",642,"C",2007,2.87822073269363,0.0822348780769609,35,3.61833463538628,1.03534874946121,1.13067296994702,0.795454545454545,1.13067296994702,1.03534874946121,1.13067296994702,1.13067296994702,"1982-11-03","2007-05-01",24,68
"955",955,"Janel McCarville",642,"C",2008,3.76819702060301,0.101843162719,37,4.48109915963601,1.12076769479024,0.905449042850577,0.840909090909091,0.905449042850577,1.12076769479024,0.905449042850577,0.905449042850577,"1982-11-03","2008-05-01",25,81
"956",956,"Janel McCarville",642,"C",2009,3.28412493291609,0.102628904153628,32,4.51567178275962,1.78816288967343,1.78894633033513,0.727272727272727,1.78894633033513,1.78816288967343,1.78894633033513,1.78894633033513,"1982-11-03","2009-05-01",26,48
"957",957,"Janel McCarville",642,"C",2010,2.4840184333792,0.0690005120383112,36,3.03602252968569,0.442545613455963,0.3339342682928,0.818181818181818,0.3339342682928,0.442545613455963,0.3339342682928,0.3339342682928,"1982-11-03","2010-05-01",27,74
"958",958,"Janel McCarville",642,"C",2013,2.61236533423249,0.0669837265187818,39,2.9472839668264,0.806625769127086,0.426440189607501,0.886363636363636,0.426440189607501,0.806625769127086,0.426440189607502,0.426440189607501,"1982-11-03","2013-05-01",30,87
"959",959,"Janel McCarville",642,"C",2014,2.46331678432046,0.0631619688287297,39,2.77912662846411,0.556934221414394,0.385558092730846,0.886363636363636,0.385558092730846,0.556934221414394,0.385558092730846,0.385558092730846,"1982-11-03","2014-05-01",31,87
"960",960,"Janel McCarville",642,"C",2016,1.03999646467071,0.0281080125586677,37,1.23675255258138,-0.333177754827327,-0.43024474750121,0.840909090909091,-0.43024474750121,-0.333177754827327,-0.43024474750121,-0.43024474750121,"1982-11-03","2016-05-01",33,81
"961",961,"Edwige Lawson-Wade",643,NA,2006,0.402011693543589,0.015461988213215,26,0.680327481381459,-0.417495121850415,-0.367228568641458,0.590909090909091,-0.367228568641458,-0.417495121850415,-0.367228568641458,-0.367228568641458,"1979-05-14","2006-05-01",26,51
"962",962,"Edwige Lawson-Wade",643,NA,2008,0.737190243039059,0.0263282229656807,28,1.15844181048995,0.205591188938016,0.354530184460854,0.636363636363636,0.354530184460854,0.205591188938016,0.354530184460854,0.354530184460854,"1979-05-14","2008-05-01",28,60
"963",963,"Edwige Lawson-Wade",643,NA,2009,1.4728034779778,0.0409112077216054,36,1.80009313975064,1.71494303122775,0.909553167356424,0.818181818181818,0.909553167356424,1.71494303122775,0.909553167356425,0.909553167356424,"1979-05-14","2009-05-01",29,93
"964",964,"Edwige Lawson-Wade",643,NA,2010,1.43961011885489,0.0411317176815682,35,1.809795577989,1.98370267520899,1.88182812114286,0.795454545454545,1.88182812114286,1.98370267520899,1.88182812114286,1.88182812114286,"1979-05-14","2010-05-01",30,89
"965",965,"Jacqueline Batteast",644,NA,2006,-0.0770221964342196,-0.0033487911493139,23,-0.147346810569811,-0.855568629790707,-0.974078316943868,0.522727272727273,-0.974078316943868,-0.855568629790707,-0.974078316943868,-0.974078316943868,"1983-03-26","2006-05-01",23,42
"966",966,"Kristen Mann",645,"F",2006,1.57938165231769,0.047860050070233,33,2.10584220309025,-0.362644309006752,-0.367361329672946,0.75,-0.367361329672946,-0.362644309006752,-0.367361329672946,-0.367361329672946,"1983-08-10","2006-05-01",22,51
